umbral,n_cubiertos,correctos,precision,coverage,recall,f1
0.7,27,18,0.6666666666666666,0.1067193675889328,1.0,0.8
0.725,26,17,0.6538461538461539,0.10276679841897234,0.9444444444444444,0.7727272727272727
0.75,24,16,0.6666666666666666,0.09486166007905138,0.8888888888888888,0.761904761904762
0.775,18,13,0.7222222222222222,0.07114624505928854,0.7222222222222222,0.7222222222222222
0.8,15,12,0.8,0.05928853754940711,0.6666666666666666,0.7272727272727272
0.825,14,11,0.7857142857142857,0.05533596837944664,0.6111111111111112,0.6875000000000001
0.85,12,10,0.8333333333333334,0.04743083003952569,0.5555555555555556,0.6666666666666667
0.875,12,10,0.8333333333333334,0.04743083003952569,0.5555555555555556,0.6666666666666667
0.9,12,10,0.8333333333333334,0.04743083003952569,0.5555555555555556,0.6666666666666667
0.925,0,0,,0.0,0.0,
0.95,0,0,,0.0,0.0,
